Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,921909,-,-,-,33.57,-86.74,-6,200,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,Clearsky DHI,Clearsky DNI,Clearsky GHI
2018,1,1,0,30,0,0,0,-14.100000000000001,-7.4,1005,58.82,354,0.30000000000000004,0.14,0,0,0
2018,1,1,1,30,0,0,0,-14,-7.5,1006,59.51,353,0.30000000000000004,0.14,0,0,0
2018,1,1,2,30,0,0,0,-14.100000000000001,-7.7,1006,59.99,353,0.30000000000000004,0.14,0,0,0
2018,1,1,3,30,0,0,0,-14.3,-8.1,1006,60.81,354,0.30000000000000004,0.14,0,0,0
2018,1,1,4,30,0,0,0,-14.5,-8.4,1007,61.2,355,0.30000000000000004,0.14,0,0,0
2018,1,1,5,30,0,0,0,-14.700000000000001,-8.700000000000001,1007,61.620000000000005,357,0.30000000000000004,0.14,0,0,0
2018,1,1,6,30,0,0,0,-15,-8.6,1008,59.79,179,0.30000000000000004,0.14,0,0,0
2018,1,1,7,30,5,52,53,-15.3,-8.1,1009,56.25,1,0.30000000000000004,0.14,31,545,91
2018,1,1,8,30,559,94,249,-15.5,-7.1000000000000005,1010,51.34,3,0.30000000000000004,0.14,53,811,277
2018,1,1,9,30,631,126,386,-15.600000000000001,-5.800000000000001,1010,46.01,4,0.30000000000000004,0.14,62,919,441
2018,1,1,10,30,970,68,558,-15.600000000000001,-4.6000000000000005,1010,42.09,2,0.30000000000000004,0.14,68,970,558
2018,1,1,11,30,994,69,614,-15.4,-3.5,1009,39.28,179,0.30000000000000004,0.14,69,994,614
2018,1,1,12,30,994,66,603,-15.200000000000001,-2.8000000000000003,1009,37.84,356,0.30000000000000004,0.14,66,994,603
2018,1,1,13,30,965,64,528,-15.100000000000001,-2.7,1008,38.050000000000004,356,0.30000000000000004,0.14,64,965,528
2018,1,1,14,30,900,57,394,-15,-3.2,1008,39.76,356,0.30000000000000004,0.14,57,900,394
2018,1,1,15,30,760,46,219,-14.9,-4.1000000000000005,1009,42.65,355,0.30000000000000004,0.14,46,760,219
2018,1,1,16,30,359,22,41,-14.700000000000001,-5.300000000000001,1009,47.56,353,0.2,0.14,22,359,41
2018,1,1,17,30,0,0,0,-14.4,-6.1000000000000005,1010,52.06,353,0.2,0.14,0,0,0
2018,1,1,18,30,0,0,0,-14.3,-6.7,1010,54.79,356,0.30000000000000004,0.14,0,0,0
2018,1,1,19,30,0,0,0,-14.3,-7.2,1010,57.03,180,0.30000000000000004,0.14,0,0,0
2018,1,1,20,30,0,0,0,-14.4,-7.6000000000000005,1010,58.39,4,0.30000000000000004,0.14,0,0,0
2018,1,1,21,30,0,0,0,-14.5,-8.1,1010,60.120000000000005,8,0.30000000000000004,0.14,0,0,0
2018,1,1,22,30,0,0,0,-14.600000000000001,-8.5,1010,61.550000000000004,12,0.30000000000000004,0.14,0,0,0
2018,1,1,23,30,0,0,0,-14.700000000000001,-9,1010,63.24,14,0.30000000000000004,0.14,0,0,0
2018,1,2,0,30,0,0,0,-14.8,-9.600000000000001,1010,65.82000000000001,14,0.2,0.14,0,0,0
2018,1,2,1,30,0,0,0,-14.8,-10.100000000000001,1010,68.29,12,0.2,0.14,0,0,0
2018,1,2,2,30,0,0,0,-14.8,-10.700000000000001,1010,71.87,7,0.2,0.14,0,0,0
2018,1,2,3,30,0,0,0,-14.8,-11.3,1010,75.34,6,0.2,0.14,0,0,0
2018,1,2,4,30,0,0,0,-14.8,-11.9,1010,78.88,6,0.2,0.14,0,0,0
2018,1,2,5,30,0,0,0,-14.9,-12.3,1011,81.17,7,0.2,0.14,0,0,0
2018,1,2,6,30,0,0,0,-15,-12.200000000000001,1011,79.91,14,0.2,0.14,0,0,0
2018,1,2,7,30,553,31,91,-15.100000000000001,-10.700000000000001,1011,69.96000000000001,29,0.2,0.14,31,553,91
2018,1,2,8,30,818,49,275,-16,-8,1010,52.82,40,0.2,0.14,49,818,275
2018,1,2,9,30,921,57,437,-16.7,-5.300000000000001,1010,40.27,37,0.2,0.14,57,921,437
2018,1,2,10,30,968,63,552,-16.900000000000002,-2.9000000000000004,1009,33.26,28,0.1,0.14,63,968,552
2018,1,2,11,30,988,65,608,-16.5,-1.1,1008,30.12,17,0.1,0.14,65,988,608
2018,1,2,12,30,984,65,598,-15.8,0.1,1007,29.07,12,0.1,0.14,65,984,598
2018,1,2,13,30,955,63,524,-15.3,0.6000000000000001,1006,29.35,12,0.1,0.14,63,955,524
2018,1,2,14,30,890,57,392,-14.700000000000001,0.2,1005,31.57,14,0.1,0.14,57,890,392
2018,1,2,15,30,749,47,219,-13.9,-1.4000000000000001,1004,37.94,15,0.1,0.14,47,749,219
2018,1,2,16,30,305,23,40,-8.5,-3.1,1004,66.13,15,0.1,0.14,23,341,42
2018,1,2,17,30,0,0,0,-8.6,-3.8000000000000003,1004,69.24,17,0.1,0.14,0,0,0
2018,1,2,18,30,0,0,0,-9.600000000000001,-4.1000000000000005,1003,65.71000000000001,19,0.1,0.13,0,0,0
2018,1,2,19,30,0,0,0,-9.700000000000001,-4.4,1003,66.45,20,0.1,0.13,0,0,0
2018,1,2,20,30,0,0,0,-9.4,-4.7,1002,69.65,19,0.1,0.13,0,0,0
2018,1,2,21,30,0,0,0,-9.1,-5,1002,73.11,18,0.1,0.13,0,0,0
2018,1,2,22,30,0,0,0,-8.8,-5.2,1002,75.58,22,0.1,0.13,0,0,0
2018,1,2,23,30,0,0,0,-8.8,-5.4,1001,77.23,29,0.1,0.13,0,0,0
2018,1,3,0,30,0,0,0,-8.700000000000001,-5.5,1001,78.31,36,0.1,0.13,0,0,0
2018,1,3,1,30,0,0,0,-8.6,-5.6000000000000005,1000,79.5,45,0.1,0.13,0,0,0
2018,1,3,2,30,0,0,0,-8.5,-5.7,999,80.75,56,0.1,0.13,0,0,0
2018,1,3,3,30,0,0,0,-8.3,-5.7,999,81.88,57,0.1,0.13,0,0,0
2018,1,3,4,30,0,0,0,-8.1,-6,999,85.34,39,0.1,0.13,0,0,0
2018,1,3,5,30,0,0,0,-7.800000000000001,-6.2,999,88.58,186,0.1,0.13,0,0,0
2018,1,3,6,30,0,0,0,-7.9,-5.9,1000,85.79,342,0.1,0.13,0,0,0
