Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1002489,-,-,-,40.01,-82.86,-5,266,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo,Clearsky DHI,Clearsky DNI,Clearsky GHI
2021,1,1,0,30,0,0,0,-6.1000000000000005,-4.7,995,80,2.3000000000000003,0.15,0,0,0
2021,1,1,1,30,0,0,0,-5.800000000000001,-4.1000000000000005,995,79,2.4000000000000004,0.15,0,0,0
2021,1,1,2,30,0,0,0,-5.4,-3.3000000000000003,995,76,2.6,0.15,0,0,0
2021,1,1,3,30,0,0,0,-4.800000000000001,-2.7,994,71,2.9000000000000004,0.15,0,0,0
2021,1,1,4,30,0,0,0,-4.5,-2.4000000000000004,993,69,3.2,0.15,0,0,0
2021,1,1,5,30,0,0,0,-4.2,-2.2,992,71,3.5,0.15,0,0,0
2021,1,1,6,30,0,0,0,-4,-2,990,77,3.8000000000000003,0.15,0,0,0
2021,1,1,7,30,0,0,0,-3.7,-1.6,989,88,3.9000000000000004,0.15,0,0,0
2021,1,1,8,30,0,7,7,-2.8000000000000003,-0.30000000000000004,989,103,3.8000000000000003,0.15,31,322,60
2021,1,1,9,30,4,64,65,-1,0.9,988,112,4.2,0.15,57,590,197
2021,1,1,10,30,15,106,111,0.1,1.4000000000000001,986,110,4.5,0.15,68,717,321
2021,1,1,11,30,13,130,136,0.7000000000000001,2,984,113,4.2,0.15,75,772,405
2021,1,1,12,30,5,127,129,1.4000000000000001,2.6,982,123,3.8000000000000003,0.15,80,785,437
