Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,223323,-,-,-,32.85,-117.14,-8,123,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo,Clearsky DHI,Clearsky DNI,Clearsky GHI
2019,1,1,0,30,0,0,0,2,8,999,74,4.2,0.16,0,0,0
2019,1,1,1,30,0,0,0,1.3,7.7,1000,70,3.9000000000000004,0.16,0,0,0
2019,1,1,2,30,0,0,0,0.8,7.5,1000,66,3.8000000000000003,0.16,0,0,0
2019,1,1,3,30,0,0,0,0.30000000000000004,7.2,1000,62,3.7,0.16,0,0,0
2019,1,1,4,30,0,0,0,-0.2,6.9,1000,59,3.8000000000000003,0.16,0,0,0
2019,1,1,5,30,0,0,0,-0.6000000000000001,6.7,1001,57,3.8000000000000003,0.16,0,0,0
2019,1,1,6,30,0,0,0,-1,7.1000000000000005,1002,57,3.9000000000000004,0.16,0,0,0
2019,1,1,7,30,547,31,92,-1,8.700000000000001,1003,56,4.7,0.16,31,547,92
2019,1,1,8,30,815,51,280,-1.9000000000000001,10.5,1004,53,6,0.16,51,815,280
2019,1,1,9,30,923,61,447,-3.5,11.700000000000001,1004,50,6.5,0.16,61,923,447
2019,1,1,10,30,973,67,566,-4.7,12.600000000000001,1004,47,6.2,0.16,67,973,566
2019,1,1,11,30,992,70,624,-5.5,13.3,1003,45,5.800000000000001,0.16,70,992,624
2019,1,1,12,30,982,73,615,-6,13.600000000000001,1002,43,5.5,0.16,73,982,615
2019,1,1,13,30,946,73,539,-6.1000000000000005,13.5,1002,44,5.5,0.16,73,946,539
2019,1,1,14,30,875,66,404,-6,13,1002,47,5.300000000000001,0.16,66,875,404
2019,1,1,15,30,729,52,227,-5.5,11.4,1002,51,4.4,0.16,52,729,227
2019,1,1,16,30,341,26,48,-3.6,9.3,1003,53,3.6,0.16,26,341,48
2019,1,1,17,30,0,0,0,-3,7.9,1004,53,3.4000000000000004,0.16,0,0,0
2019,1,1,18,30,0,0,0,-3,7.2,1004,52,3.2,0.16,0,0,0
2019,1,1,19,30,0,0,0,-3.1,6.800000000000001,1005,50,3,0.16,0,0,0
2019,1,1,20,30,0,0,0,-3.2,6.5,1005,49,2.8000000000000003,0.16,0,0,0
2019,1,1,21,30,0,0,0,-3.5,6.4,1005,49,2.7,0.16,0,0,0
