Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,134835,-,-,-,45.61,-122.58,-8,61,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,Clearsky DHI,Clearsky DNI,Clearsky GHI
2018,1,1,0,30,0,0,0,-2.8000000000000003,-0.30000000000000004,1008,83.35000000000001,80,0.5,0.12,0,0,0
2018,1,1,1,30,0,0,0,-2.8000000000000003,-0.5,1008,84.28,81,0.5,0.12,0,0,0
2018,1,1,2,30,0,0,0,-2.8000000000000003,-0.5,1009,84.14,83,0.5,0.12,0,0,0
2018,1,1,3,30,0,0,0,-2.8000000000000003,-0.5,1009,84.19,83,0.5,0.12,0,0,0
2018,1,1,4,30,0,0,0,-2.8000000000000003,-0.6000000000000001,1009,84.97,81,0.5,0.12,0,0,0
2018,1,1,5,30,0,0,0,-2.8000000000000003,-0.7000000000000001,1009,85.71000000000001,80,0.5,0.12,0,0,0
2018,1,1,6,30,0,0,0,-2.9000000000000004,-1,1009,86.86,78,0.5,0.12,0,0,0
2018,1,1,7,30,0,0,0,-3.1,-0.8,1010,84.68,76,0.7000000000000001,0.12,0,0,0
2018,1,1,8,30,411,25,60,-2.9000000000000004,0.30000000000000004,1010,79.10000000000001,70,0.9,0.12,25,411,60
2018,1,1,9,30,667,44,183,-2.1,2.3000000000000003,1011,72.88,62,0.9,0.12,44,667,183
2018,1,1,10,30,776,52,286,-0.5,4.5,1011,69.87,58,0.9,0.12,52,776,286
2018,1,1,11,30,823,56,348,1,6.4,1011,68.39,62,0.9,0.12,56,823,348
2018,1,1,12,30,833,56,360,2.3000000000000003,7.6000000000000005,1011,68.93,63,0.9,0.12,56,833,360
2018,1,1,13,30,813,54,323,2.9000000000000004,7.7,1011,71.4,57,0.9,0.12,54,813,323
2018,1,1,14,30,743,46,237,3.1,6.800000000000001,1011,77.47,52,0.8,0.12,46,743,237
2018,1,1,15,30,29,79,83,2.8000000000000003,4.800000000000001,1011,87.12,53,0.7000000000000001,0.12,34,579,119
2018,1,1,16,30,0,0,0,1.1,2.8000000000000003,1011,88.67,59,0.7000000000000001,0.12,0,0,0
2018,1,1,17,30,0,0,0,-0.30000000000000004,1.5,1012,87.69,65,0.8,0.12,0,0,0
2018,1,1,18,30,0,0,0,-1.5,0.6000000000000001,1012,85.86,67,0.9,0.12,0,0,0
2018,1,1,19,30,0,0,0,-2.3000000000000003,0.2,1012,83.03,68,0.9,0.12,0,0,0
2018,1,1,20,30,0,0,0,-2.9000000000000004,-0.1,1012,81.56,68,0.9,0.12,0,0,0
2018,1,1,21,30,0,0,0,-3.2,-0.2,1012,80.32000000000001,67,0.8,0.12,0,0,0
2018,1,1,22,30,0,0,0,-3.4000000000000004,-0.2,1011,79.15,65,0.8,0.12,0,0,0
2018,1,1,23,30,0,0,0,-3.4000000000000004,-0.30000000000000004,1011,79.73,63,0.7000000000000001,0.12,0,0,0
2018,1,2,0,30,0,0,0,-3.6,-0.6000000000000001,1011,79.89,61,0.7000000000000001,0.12,0,0,0
2018,1,2,1,30,0,0,0,-3.8000000000000003,-0.7000000000000001,1011,79.61,63,0.7000000000000001,0.12,0,0,0
2018,1,2,2,30,0,0,0,-3.9000000000000004,-0.6000000000000001,1011,78.37,68,0.8,0.12,0,0,0
2018,1,2,3,30,0,0,0,-3.8000000000000003,-0.4,1011,77.74,69,0.9,0.12,0,0,0
2018,1,2,4,30,0,0,0,-3.6,-0.1,1011,77,69,0.9,0.12,0,0,0
2018,1,2,5,30,0,0,0,-3.5,0,1011,77.12,68,1.1,0.12,0,0,0
2018,1,2,6,30,0,0,0,-3.4000000000000004,0.2,1011,76.87,68,1.1,0.12,0,0,0
2018,1,2,7,30,0,0,0,-3.3000000000000003,0.5,1011,75.74,76,1.1,0.12,0,0,0
2018,1,2,8,30,0,32,32,-3.1,1.1,1011,73.73,84,1.2000000000000002,0.12,25,417,60
2018,1,2,9,30,43,103,112,-2.7,1.8,1011,71.81,83,1.3,0.12,44,657,181
2018,1,2,10,30,107,150,182,-2.4000000000000004,2.6,1010,69.69,80,1.4000000000000001,0.12,54,756,282
2018,1,2,11,30,69,182,207,-1.8,3.5,1009,68.28,78,1.6,0.12,59,800,343
2018,1,2,12,30,98,192,228,-1.2000000000000002,4.2,1009,67.94,74,1.6,0.12,61,806,356
2018,1,2,13,30,114,168,206,-0.5,4.3,1008,70.89,67,1.5,0.12,57,777,316
2018,1,2,14,30,43,123,134,-0.2,3.8000000000000003,1008,74.91,64,1.3,0.12,51,703,233
2018,1,2,15,30,19,68,71,-0.6000000000000001,2.8000000000000003,1008,78.36,67,1.1,0.12,37,540,117
2018,1,2,16,30,0,0,0,-1.4000000000000001,1.8,1008,79.45,70,1,0.12,0,0,0
2018,1,2,17,30,0,0,0,-2.2,1.1,1008,78.77,73,1,0.12,0,0,0
2018,1,2,18,30,0,0,0,-2.9000000000000004,0.6000000000000001,1008,77.58,73,1,0.12,0,0,0
2018,1,2,19,30,0,0,0,-3.4000000000000004,0.4,1008,75.8,71,1.1,0.12,0,0,0
2018,1,2,20,30,0,0,0,-3.7,0.30000000000000004,1007,74.51,67,1.1,0.12,0,0,0
2018,1,2,21,30,0,0,0,-3.8000000000000003,0.2,1007,74.28,64,1.1,0.12,0,0,0
2018,1,2,22,30,0,0,0,-3.9000000000000004,0.2,1007,73.91,64,1.1,0.12,0,0,0
2018,1,2,23,30,0,0,0,-3.9000000000000004,0.2,1007,73.68,65,1.1,0.12,0,0,0
2018,1,3,0,30,0,0,0,-3.9000000000000004,0.30000000000000004,1007,73.3,67,1.1,0.12,0,0,0
2018,1,3,1,30,0,0,0,-3.8000000000000003,0.30000000000000004,1007,73.93,68,1.1,0.12,0,0,0
2018,1,3,2,30,0,0,0,-3.7,0.1,1007,75.47,67,1,0.12,0,0,0
2018,1,3,3,30,0,0,0,-3.7,0,1006,75.97,66,1,0.12,0,0,0
2018,1,3,4,30,0,0,0,-3.7,-0.2,1006,77.24,68,0.9,0.12,0,0,0
2018,1,3,5,30,0,0,0,-3.7,-0.30000000000000004,1005,77.86,69,0.9,0.12,0,0,0
2018,1,3,6,30,0,0,0,-3.7,-0.4,1005,78.54,69,1,0.12,0,0,0
2018,1,3,7,30,0,0,0,-3.7,-0.30000000000000004,1005,77.87,68,1.1,0.12,0,0,0
2018,1,3,8,30,0,11,11,-3.5,0.7000000000000001,1005,73.45,67,1.3,0.12,23,435,60
2018,1,3,9,30,1,38,38,-2.8000000000000003,2.4000000000000004,1005,68.44,65,1.4000000000000001,0.12,40,671,181
2018,1,3,10,30,0,86,86,-1.6,4.2,1004,65.72,66,1.4000000000000001,0.12,49,774,283
2018,1,3,11,30,19,177,184,-0.4,5.5,1003,65.78,67,1.5,0.12,52,817,344
2018,1,3,12,30,1,117,117,0.5,6.2,1002,66.79,68,1.5,0.12,54,823,357
2018,1,3,13,30,0,94,94,0.9,6.4,1002,67.91,71,1.5,0.12,53,791,318
2018,1,3,14,30,78,143,163,1.2000000000000002,5.9,1002,71.95,73,1.3,0.12,46,724,235
2018,1,3,15,30,573,34,120,1,4.6000000000000005,1002,77.41,77,1.1,0.12,34,573,120
2018,1,3,16,30,0,0,0,0.1,3.4000000000000004,1002,78.99,80,1,0.12,0,0,0
2018,1,3,17,30,0,0,0,-0.7000000000000001,2.8000000000000003,1002,77.91,81,1.1,0.12,0,0,0
2018,1,3,18,30,0,0,0,-1.2000000000000002,2.4000000000000004,1002,77.24,82,1.2000000000000002,0.12,0,0,0
2018,1,3,19,30,0,0,0,-1.5,2.2,1001,76.49,84,1.1,0.12,0,0,0
2018,1,3,20,30,0,0,0,-1.7000000000000002,2.1,1001,76.22,85,1,0.12,0,0,0
2018,1,3,21,30,0,0,0,-1.7000000000000002,1.9000000000000001,1001,77.16,85,0.9,0.12,0,0,0
2018,1,3,22,30,0,0,0,-1.7000000000000002,2,1000,76.66,87,0.8,0.12,0,0,0
2018,1,3,23,30,0,0,0,-1.4000000000000001,2.1,1000,77.76,85,0.7000000000000001,0.12,0,0,0
2018,1,4,0,30,0,0,0,-1.2000000000000002,1.9000000000000001,1000,79.63,80,0.6000000000000001,0.12,0,0,0
2018,1,4,1,30,0,0,0,-1.3,1.7000000000000002,1000,80.29,78,0.5,0.12,0,0,0
2018,1,4,2,30,0,0,0,-1.2000000000000002,1.8,1000,80.49,78,0.6000000000000001,0.12,0,0,0
2018,1,4,3,30,0,0,0,-1.2000000000000002,1.8,1001,80.76,77,0.7000000000000001,0.12,0,0,0
2018,1,4,4,30,0,0,0,-1.3,1.8,1001,80.18,77,0.8,0.12,0,0,0
2018,1,4,5,30,0,0,0,-1.4000000000000001,1.7000000000000002,1001,79.94,80,0.9,0.12,0,0,0
2018,1,4,6,30,0,0,0,-1.5,1.7000000000000002,1001,79.28,80,0.9,0.12,0,0,0
2018,1,4,7,30,0,0,0,-1.5,1.8,1001,78.56,75,1.1,0.12,0,0,0
2018,1,4,8,30,0,9,9,-1.4000000000000001,2.1,1001,77.49,72,1.2000000000000002,0.12,29,277,53
2018,1,4,9,30,0,30,30,-1.1,3,1001,74.21000000000001,77,1.3,0.12,54,546,169
2018,1,4,10,30,0,39,39,-0.4,4.4,1001,71.16,85,1.3,0.12,63,683,271
2018,1,4,11,30,112,200,240,0.9,5.800000000000001,1000,70.89,89,1.2000000000000002,0.12,66,748,334
2018,1,4,12,30,1,115,115,2.1,6.800000000000001,1000,72.12,86,1.1,0.12,65,772,350
2018,1,4,13,30,30,179,189,3.2,7.300000000000001,1000,75.2,82,1.1,0.12,60,752,314
2018,1,4,14,30,19,104,109,3.8000000000000003,7,1000,80.06,86,0.9,0.12,52,682,232
2018,1,4,15,30,0,18,18,3.8000000000000003,6,1000,85.74,90,0.8,0.12,38,521,118
2018,1,4,16,30,0,2,2,3.2,5.1000000000000005,1000,87.46000000000001,91,0.9,0.12,11,126,13
2018,1,4,17,30,0,0,0,2.7,4.5,1000,88.02,95,1.1,0.12,0,0,0
2018,1,4,18,30,0,0,0,2.6,4.3,1000,88.39,99,1.2000000000000002,0.12,0,0,0
2018,1,4,19,30,0,0,0,2.7,4.2,1000,89.95,96,1.1,0.12,0,0,0
2018,1,4,20,30,0,0,0,2.7,4,1000,91.12,89,1.1,0.12,0,0,0
2018,1,4,21,30,0,0,0,2.5,3.9000000000000004,1000,90.62,89,1,0.12,0,0,0
2018,1,4,22,30,0,0,0,2.5,3.9000000000000004,1000,90.44,89,0.9,0.12,0,0,0
2018,1,4,23,30,0,0,0,2.5,3.8000000000000003,1000,91.45,82,0.9,0.12,0,0,0
2018,1,5,0,30,0,0,0,2.4000000000000004,3.7,1000,91.29,78,1,0.12,0,0,0
2018,1,5,1,30,0,0,0,2.2,3.5,1000,91.3,79,1.1,0.12,0,0,0
2018,1,5,2,30,0,0,0,2.1,3.4000000000000004,999,90.88,81,1.1,0.12,0,0,0
2018,1,5,3,30,0,0,0,1.7000000000000002,3.2,999,90.13,87,1,0.12,0,0,0
2018,1,5,4,30,0,0,0,1.6,3.2,999,89.19,93,1,0.12,0,0,0
2018,1,5,5,30,0,0,0,1.8,3.4000000000000004,999,89.21000000000001,95,1,0.12,0,0,0
