Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,897344,-,-,-,42.97,-87.9,-6,196,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,Clearsky DHI,Clearsky DNI,Clearsky GHI
2018,1,1,0,30,0,0,0,-21.400000000000002,-20.1,1011,89.43,309,5.6000000000000005,0.8,0,0,0
2018,1,1,1,30,0,0,0,-21.5,-20.5,1012,91.68,306,5.5,0.8,0,0,0
2018,1,1,2,30,0,0,0,-21.6,-20.8,1012,93.68,304,5.4,0.8,0,0,0
2018,1,1,3,30,0,0,0,-21.5,-20.900000000000002,1012,94.71000000000001,303,5.4,0.8,0,0,0
2018,1,1,4,30,0,0,0,-21.5,-20.900000000000002,1012,95.05,303,5.5,0.8,0,0,0
2018,1,1,5,30,0,0,0,-21.5,-20.700000000000003,1012,93.58,304,5.5,0.8,0,0,0
2018,1,1,6,30,0,0,0,-21.5,-20.700000000000003,1012,93.52,304,5.4,0.8,0,0,0
2018,1,1,7,30,0,7,7,-21.5,-20.200000000000003,1013,89.47,305,5.7,0.8,10,149,12
2018,1,1,8,30,30,96,101,-21.200000000000003,-19,1013,82.88,308,6.1000000000000005,0.8,39,673,145
2018,1,1,9,30,205,170,227,-20.700000000000003,-17.7,1013,77.3,310,6,0.8,57,833,288
2018,1,1,10,30,290,211,316,-20.1,-16.5,1013,73.4,308,5.7,0.8,64,908,393
2018,1,1,11,30,355,227,370,-19.6,-15.4,1013,70.38,305,5.5,0.8,67,939,447
2018,1,1,12,30,374,229,379,-19.1,-14.600000000000001,1012,68.83,302,5.4,0.8,67,939,443
2018,1,1,13,30,464,179,342,-18.6,-14.100000000000001,1012,68.46000000000001,299,5.300000000000001,0.8,60,908,380
2018,1,1,14,30,254,151,217,-18.400000000000002,-14.100000000000001,1012,70.14,297,5,0.8,51,831,268
2018,1,1,15,30,39,84,89,-18.3,-15,1013,75.94,294,4.4,0.8,34,651,122
2018,1,1,16,30,0,2,2,-18.6,-16.2,1013,81.48,289,4,0.8,4,47,3
2018,1,1,17,30,0,0,0,-18.7,-16.900000000000002,1013,85.89,285,4,0.8,0,0,0
2018,1,1,18,30,0,0,0,-18.7,-17.5,1013,90.14,282,4.1000000000000005,0.8,0,0,0
