Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,897344,-,-,-,42.97,-87.9,-6,196,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo,Clearsky DHI,Clearsky DNI,Clearsky GHI
2019,1,1,0,30,0,0,0,-4.4,-3.1,991,335,5.800000000000001,0.76,0,0,0
2019,1,1,1,30,0,0,0,-5.2,-3.7,994,335,5.5,0.76,0,0,0
2019,1,1,2,30,0,0,0,-5.9,-4.4,995,336,5.1000000000000005,0.76,0,0,0
2019,1,1,3,30,0,0,0,-6.7,-5,997,342,5.1000000000000005,0.76,0,0,0
2019,1,1,4,30,0,0,0,-7.300000000000001,-5.4,997,349,5.2,0.76,0,0,0
2019,1,1,5,30,0,0,0,-7.5,-5.7,998,353,4.800000000000001,0.76,0,0,0
2019,1,1,6,30,0,0,0,-7.7,-5.9,999,352,4.3,0.76,0,0,0
2019,1,1,7,30,0,3,3,-7.800000000000001,-5.4,1000,352,4.2,0.76,9,64,10
2019,1,1,8,30,0,51,51,-7.4,-4.7,1001,178,4.4,0.76,51,494,128
2019,1,1,9,30,0,52,52,-7.1000000000000005,-4.2,1001,3,4.4,0.76,72,688,263
2019,1,1,10,30,3,147,148,-6.800000000000001,-3.9000000000000004,1001,3,4.2,0.76,83,775,364
2019,1,1,11,30,9,193,197,-6.6000000000000005,-3.6,1001,180,3.9000000000000004,0.76,88,810,415
2019,1,1,12,30,2,183,184,-6.6000000000000005,-3.4000000000000004,1001,358,3.6,0.76,86,812,411
2019,1,1,13,30,12,182,186,-6.5,-3.3000000000000003,1001,180,3.2,0.76,78,780,352
2019,1,1,14,30,0,76,76,-6.6000000000000005,-3.6,1001,178,2.7,0.76,64,689,244
2019,1,1,15,30,0,46,46,-6.800000000000001,-4.3,1002,352,2.3000000000000003,0.76,43,472,107
2019,1,1,16,30,0,1,1,-7.5,-5.2,1002,345,2.2,0.76,3,19,3
2019,1,1,17,30,0,0,0,-8,-5.800000000000001,1002,342,2.3000000000000003,0.76,0,0,0
2019,1,1,18,30,0,0,0,-8.3,-6.4,1002,339,2.1,0.8,0,0,0
2019,1,1,19,30,0,0,0,-8.700000000000001,-7,1001,334,1.9000000000000001,0.8,0,0,0
2019,1,1,20,30,0,0,0,-9.1,-7.4,1001,327,1.7000000000000002,0.8,0,0,0
2019,1,1,21,30,0,0,0,-9.4,-7.6000000000000005,1000,315,1.4000000000000001,0.8,0,0,0
2019,1,1,22,30,0,0,0,-9.600000000000001,-7.800000000000001,1000,301,1.4000000000000001,0.8,0,0,0
2019,1,1,23,30,0,0,0,-9.700000000000001,-7.9,1000,293,1.4000000000000001,0.8,0,0,0
2019,1,2,0,30,0,0,0,-9.8,-8.1,1000,289,1.4000000000000001,0.8,0,0,0
2019,1,2,1,30,0,0,0,-9.700000000000001,-8.1,999,276,1.4000000000000001,0.8,0,0,0
2019,1,2,2,30,0,0,0,-9.600000000000001,-8.1,999,261,1.8,0.8,0,0,0
2019,1,2,3,30,0,0,0,-9.5,-7.800000000000001,998,252,2,0.8,0,0,0
2019,1,2,4,30,0,0,0,-9.200000000000001,-7.4,998,244,2,0.8,0,0,0
2019,1,2,5,30,0,0,0,-9,-7.1000000000000005,997,234,2,0.8,0,0,0
2019,1,2,6,30,0,0,0,-8.700000000000001,-6.7,997,224,2.2,0.8,0,0,0
2019,1,2,7,30,0,5,5,-8.3,-5.9,997,220,2.6,0.8,9,58,10
2019,1,2,8,30,1,66,66,-7.2,-4.7,997,221,3.4000000000000004,0.8,54,460,126
2019,1,2,9,30,0,102,102,-6,-3.5,996,225,4.2,0.8,78,651,259
2019,1,2,10,30,1,89,89,-5.2,-2.6,994,229,4.9,0.8,90,753,363
2019,1,2,11,30,1,160,160,-5,-2,993,232,5.5,0.8,93,803,418
2019,1,2,12,30,0,161,161,-5.1000000000000005,-1.7000000000000002,991,234,5.800000000000001,0.8,91,805,415
2019,1,2,13,30,0,118,118,-5.2,-1.7000000000000002,990,238,5.800000000000001,0.8,83,773,356
2019,1,2,14,30,0,59,59,-5.2,-2.1,990,242,5.2,0.8,69,689,250
2019,1,2,15,30,0,47,47,-5,-2.8000000000000003,990,245,4.6000000000000005,0.8,45,480,111
2019,1,2,16,30,0,1,1,-5.300000000000001,-3.5,990,249,4.7,0.8,3,21,3
2019,1,2,17,30,0,0,0,-5.5,-3.8000000000000003,990,255,5.300000000000001,0.8,0,0,0
2019,1,2,18,30,0,0,0,-5.800000000000001,-4.1000000000000005,991,261,5.4,0.78,0,0,0
2019,1,2,19,30,0,0,0,-6.5,-5.2,991,262,4.7,0.78,0,0,0
2019,1,2,20,30,0,0,0,-7.800000000000001,-6.7,991,255,3.8000000000000003,0.78,0,0,0
2019,1,2,21,30,0,0,0,-9,-7.5,990,245,3.8000000000000003,0.78,0,0,0
2019,1,2,22,30,0,0,0,-9.3,-7.5,990,240,4.1000000000000005,0.78,0,0,0
